review_id;user_id;restaurant_id;review_text;rating;timestamp
35;5;4;Kesini wkt msh jam sepi. Makanannya lama sekali datangnya. Dah gitu biasa aja lagi rasanya. Makan di resto jepang yg kelasnya dibawah ini jauh lebih enak, ga pake tunggu lama lagi. Lucunya pesen miso sup, miso supnya duluan dateng. Istri …;3;25/03/25 09.31
36;6;4;Great Japanese Restaurant! 1. Lokasi strategis di daerah senopati-gunawarman. 2. Parkiran dan valet nya Ok, simple dari parkiran langsung ke restaurant …;3;19/07/25 09.42
37;7;4;BEST EXPERIENCE IN IZAKAYA EVUUURRR! Semua makanan enak banget! Ga ada yg failed. Cocok bgt buat ngobrol2, krn makanan light bitesnya banyak variannya. Sakenya noice👍🏻👍🏻👍🏻 setiap kamis ada free flow sake juga. Dapet dessert caramel miso, unique taste but surprisingly uenak puol. Kudos to Fujin dan Mas Iqbal! …;5;12/05/25 01.02
38;8;4;Definisi dari high quality food. Lidah sapinya lembuuutttt bgt dan definisi lumer di lidah. Bumbunya juga pas dan refreshing dgn saladnya. Highly recommended. …;5;09/08/24 06.44
39;9;4;sudah 3 kali ke sini dan selalu puas dengan semua makanan nya! favorit saya yg selalu dipesen adalah chicken nanban dan mentaiko cheese pizza 👍🏻 menu lainnya kayak okonomiyaki dan sushi roll nya juga enak. tempatnya juga buka sampai tengah malam jadi cocok buat yang mau nongki malem di daerah jaksel 👍🏻👍🏻 …;5;19/05/25 12.08
40;10;4;Fav resto. Enak semua makanannya, suasananya juga oke banget. Semua makanannya ga ada yg ga enak.;3;05/04/25 22.49
41;1;5;Enak semua, udh 2 kali kesini. Gak ada yang gagal deh, enak semua. Pelayanan bagus bgt bgt, ramah. sayangnya gak ada musholla nya untuk solat, tapi mba nya bantuin untuk bisa solat diruangan makan, dan dipinjamkan sajadah dan mukena. Semoga kedepannya ada mushollanya ya. Makan disini 8 orang 3 jutaan, worthit sii sama makanannya.;5;22/02/25 06.47
42;2;5;Kali kedua makan di sini. Pelayanan selalu good dan rasa makanan pun tetap yummy 👍🏻 Datang sabtu malam dan masih kebagian parking di sisi samping restoran. …;5;15/12/24 08.21
43;3;5;Fav place to dinner with love❤️ gyukatsunya enak paraa, kalo sushi coba sumo roll sama geisha roll, itu the best👍🏻 tapi overall gaada yg gaenak disini. mantap!! …;3;17/11/24 17.59
44;4;5;Tempatnya tidak terlalu luas tapi interiornya jepang banget ditambah ada tatami jadi semakin berasa nuansa jepang. Lengkap pilihan japanese foodnya dari sushi, mozaru, gyukatsu, udon & sukiyaki.;4;17/09/24 05.56
45;5;5;Tenang, nyaman, good service, tempatnya cantik,pilihan menunya banyak dan rasanya enak;4;20/08/24 17.48
46;6;5;Sushinya fresh, enak dan tempatnya bersih nyaman dan pelayananya baik.;5;16/03/25 18.08
47;7;5;tempatnya cozy banget, banyak pilihan menunya dan tastenya enak bagi food japanese lover ini worth it banget to try;5;23/02/25 23.40
48;8;5;Resto sushi yg instagrambale banget...sushi nya juga enakkk..sooo gewwdddd.. Tempat nya juga enakk,,teduh,tenang...;4;16/11/24 21.47
49;9;5;Restoran dengan nuansa jepang yang otentik. Rasa makanan enak apalagi curry ramen nya. Pelayanan ramah dan harganya worth it. Recommend pokonya 👍🏼 …;5;05/04/25 06.27
50;10;5;Semua makanannya enak.. Suasananya juga cozy dan nyaman. Worth it to try!;4;12/09/24 22.31
51;1;6;Udah bbrp kali makan disini (terakhir dateng akhir tahun 2023) dan selalu puas. Kali ini dateng ajak temen buat cobain, harganya sekarang 350 nett untuk ayce. Untuk kualitas dan rasa makanan enak BGTTT seperti biasanya, dan pilihan menunya …;4;24/03/25 15.28
52;2;6;Ke sini mesen a la carte sama kawan ber4. Pesen salmon lava dan sashimi nya. Overall enak dan service sangat baik. Namun, saya merasakan cahayanya agak redup namun nyaman overall.;3;29/06/25 15.55
