id_resto,name,category,latitude,longitude,price_range,description,reviews_count
001,"Il Forno Pizzeria, Blok M",Restoran Pizza,-6.242024,106.7801726,,,10
002,Nonna Bona,Restoran,-6.242024,106.7801726,,,0
