review_id;user_id;restaurant_id;review_text;rating;timestamp
41;2;5;Makanan nya oke. Banyak varian sushi roll nya saking byk nyaa sampe bingung yg enk manaa hehehe. Fav edamame garlic nyaa aku selalu pesen kalau ke sini.;5;27/12/24 05.38
42;3;5;Super Kecewa... Kesini karena lihat ada promo, datang jam 18.30, menu promo (salmon volcano sama …;4;05/11/24 07.17
43;4;5;Ada harga ada kwalitas. Rasanya ga kaleng2, semua menu enak dan lezat. Sdh mirip kek sushi di jepang. Ada paket buat kids juga, menunya banyakkk banget. Karyawan ramah tamah sopan santun. Tempat nyaman, bersih, aman dan tertib😆. Baka sering …;3;15/10/24 09.45
44;5;5;Restoran sushi di mal. Dekorasinya jepang2, suasana tenang. Sushi yang disajikan fresh, nasi di sushi roll pas, ga ketebelan, ga kelembekan. Cuma untuk potongan tebalnya ga sama. Bagian topping sashiminya ga utuh, pecah2. …;4;21/05/25 18.51
45;6;5;Makanannya enak bgt dan terjangkau, pelayanannya ramah ✨✨✨ akan kembali lagi kesini 🥹 kare nya enak, salad nya enak, salmonnya fresh! Great ambience ❤️ …;5;20/08/24 03.53
46;7;5;Ajak tamu berkali-kali makan di sini karena kantorku deket sama MOI, omg servicenya top bgt! …;5;31/12/24 14.42
47;8;5;Enak banget ! Semua yg dipesan enak. Nasinya lembut sekali. Tempatnya jg nyaman dan bersih. Service cepat dan ramah. …;3;13/07/25 08.54
48;9;5;first time coba makan GION di MOI, banyak opini dari temen sekitar macam macam ada yang bilang B aja ada yang bilang enak banget. karna saya pecinta sushiiiii ini termasuk yang enak, fresh dan rasanya variatif banget. misalnya kek saya ada …;3;18/02/25 16.08
49;10;5;The best sushi yang pernah gw coba. Rasanya enak banget! Apalagi volcano roll nya. Servicenya juga best banget ambience tempat makannya juga nyaman banget. …;5;23/04/25 10.52
50;1;6;24 MEI 2025 JAPANESE WAGYU 5O GR enak KARUBI 100 GR enak agak berminyak …;3;26/06/25 00.10
51;2;6;pelayanan ramah, makanan enak seperti biasa yakiniku like, tempat juga bersih dan rapi, suasananya jg tenang. top banget;3;27/04/25 02.36
52;3;6;Kalau mau makan bbq-an tapi gamau ayce bisa makan di sini. Perdagingannya sama kaya di kintan, harganya masih terjangkau dan ngenyangin banget. Kesini pas lagi ulang tahun jadi dapet diskon 30% pakai boga app. Makan berdua abis 156k udah cukup puas;5;21/01/25 17.36
