id_resto;name;category;latitude;longitude;harga_terendah;harga_tertinggi;description;reviews_count
2;William's;Restoran Masakan Barat;-62.309.175;1.067.714.149;N/A;250000;Kreasi hidangan Asia & Barat yang disajikan di tempat luas bergaya rustic-chic dengan meja outdoor.;10
3;Le Quartier;Restoran Prancis;-62.309.175;1.067.714.149;N/A;250000;Brasserie bergaya Prancis klasik, dengan lantai kayu & lampu gantung, menyajikan sarapan, steak dan piza.;10
4;MANZO Jakarta;Restoran Masakan Perpaduan;-62.309.175;1.067.714.149;N/A;250000;N/A;10
5;Txoko Jakarta;Restoran Spanyol;-62.309.175;1.067.714.149;N/A;250000;Restoran trendi yang menawarkan masakan Spanyol termasuk tapas, seafood, daging, makanan penutup, dan sangria;10
6;PENN JAKARTA;Bar;-62.309.175;1.067.714.149;N/A;N/A;N/A;10
11;Sofia at The Gunawarman;Restoran Mewah;-62.309.175;1.067.714.149;N/A;250000;Restoran hotel menawan yang menyajikan makanan Italia, Prancis & Asia, plus koktail,  di ruang elegan.;10
13;Milou Farm House;Restoran;-62.309.175;1.067.714.149;N/A;N/A;N/A;10
15;Loewy;Bistro;-62.278.756;1.067.721.056;N/A;250000;Bistro klasik yang terinspirasi Paris & New York tahun 1940-an yang menyajikan menu khas Eropa kontemporer.;10
