review_id;user_id;restaurant_id;review_text;rating;timestamp
30;10;4;recommended matcha di jakarta ,makanan nya juga enak enak nasi goreng oxtail enakk banget;5;11/04/25 22.05
31;1;5;berhubung txoko ini resto basque cuisine dan pernah liat review kalo cheesecake mereka juara, langsung deh mampir! tipikal cheesecake mereka lumer di tengah, disajiin dengan lime sorbet dan apple sauce. rasa cheesecake nya sedikit beda …;4;14/09/24 23.45
32;2;5;Pertama kali cobain makanan basque, ternyata seru dan menyenangkan. Kudos untuk service resto mbak dan mas waiter yg ramah dan akomodatif saat kami banyak pertanyaan seputar menu. Selain itu complimentnya juga beragam. Terima kasih banyak! Compliment chicken livernya berkesan bgt. Next penasaran coba basque cheesecakenya :D;5;10/06/25 14.47
33;3;5;Jangan tanya mengenai makanannya Chef satu ini. Sesimple chicken cutlet aja berkualitas banget. Ingredient disini juga bagus banget dan rasanya ga salah. …;5;23/10/24 10.59
34;4;5;Restoran Spanyol di Senopati yang mesti kalian visit‼️ Tempat yang bisa kamu visit kalo lagi cari restoran di Senopati, TXOKO Jakarta …;3;04/01/25 06.26
35;5;5;Pertama kali coba! Enakkk trus staffnyaa ramahh bangett! Banyak compliments juga. Enakk paellanya yang squid atau seafoodnya! Dessertnya enakk jugaa;4;29/12/24 07.07
36;6;5;2x datang dan 2x juga aku merasa sangat puas dengan semua makanan dan servisnya. Sebuah pengalaman yg sangat berkesan! Aku rasa setidaknya tiap orang harus makan di txoko sekali (meski niscaya pasti ingin balik lagi);4;04/05/25 07.47
37;7;5;Suppeerrr duupperr enaaakk 😍😍😍😍😍 👍👍👍👍👍👍 Super recommend! …;5;01/04/25 11.07
38;8;5;Semua Tapasnya enak, ga ada yg failed paling fave : gambas and octopusnya so yummy and juicy ! …;5;03/06/25 04.12
39;9;5;Kami pertama x datang & makan disini. Semuanya perfect. Suasana resto nyaman, makanannya banyak variasi nya, enak2 & menarik penyajiannya. Resto juga byk kasih komplimentari makanan. Owner nya ramah sekali, hingga kami berfoto bersama. …;3;14/02/25 12.38
40;10;5;Pertama kali makan di Txoko, kita pilih paket family sunday brunch. Semua menunya enak. Pelayanan bagus dan chefnya ramah. Hanya terfoto desertnya.;3;07/12/24 10.04
41;1;6;Bad experience menurut saya pertama kalinya coba pesen vip room tgl 29 des malam, spend lumayan 2.5jt tapi makanannya kurang apalagi steaknya padahal lagi ngidam bgt tp bnrbnr baru kaliini makan steak adem gada panas panasnya dan udh diblg …;5;24/07/24 10.37
42;2;6;Karena sudah lewat makan siang, jadi hanya ngemil saja. Kroket dan Risoles Mayo. Kroketnya maknyuss banget, belum pernah nemuin kroket spt ini. RIsoles mayonya …;5;24/10/24 02.14
43;3;6;Tempatnya elegan, makanannya luar biasa, dan pelayanannya top! Penn Jakarta benar-benar memberikan pengalaman makan yang istimewa. Cocok untuk segala suasana—baik santai maupun formal. Pasti akan datang lagi!;3;04/07/25 11.59
44;4;6;Really love the ambience, enak bgt buat hangout. Tempatnya juga nyaman, live music juga ada dan bandnya bagus2.;3;10/06/25 06.50
45;5;6;Tempatnya cozy bgt, makanannya enak², pelayanannya oke. Cocok buat makan malam sama keluarga.;4;20/08/24 09.08
46;6;6;Not too big in size, tapi athmosfirnya chill bgt. Karena nggak terlalu banyak meja jadi nggak hiruk pikuk banget suasananya. Makanan okay aja, tapi kopi dan pastry di cafe di lantai 2 nya patut di pujikan….;3;02/12/24 01.35
47;7;6;Mantap sih makannya enak semua, pelayannya ramah bgt, minumannya enak bgt ga kemanisan hehehe;4;28/03/25 19.41
48;8;6;Makanannya semua asin. Servant lamban. Vibesnya biasa aja bahkan se effort itu mau kesana krn ga ad parkir adanya valet. Hmmm .. nothing special.;4;26/11/24 20.58
49;9;6;Makanan yang dihidangkan terlalu lama, terlebih untuk acara buka puasa. Sudah lewat satu setengah jam lebih dari jam buka puasa tetapi makanan belum dihidangkan juga, padahal sudah reservasi dan pesan makanan di hari sebelumnya. Mohon evaluasi kembali!;3;11/04/25 22.47
50;10;6;Tempatnya bagus buat santai, makanan nya enak sama servis nya juga okeokeee;3;08/01/25 05.59
61;1;11;Tempatnya nyaman dan sangat private. Semua menu yg di order enak, anak2 suka. Kekurangannya hanya harganya yg overpriced heheheee. Tapi gak sampe terkaget2 siih karena sebelum ke sana dah baca2 review sebelumnya.;4;30/06/25 23.03
62;2;11;Baru-baru tadi bukber di sana. Suasananya romantis banget. Makanannya lumayan enak. Hanya saja musholla yang disiapkan ternyata adalah kamar hotel, cowok cewek digabung jadi satu. Saat gw baru selesai sholat, masuklah seorang cowok mau …;3;31/10/24 22.01
63;3;11;came here to have a birthday dinner. makanannya enak semua, pelayanannya sangat baik, dan ambiencenya cocok untuk ngedate. minusnya cuma masaknya aja yg agak lama. but overall i’m quite satisfied;3;28/11/24 17.06
