id_resto;name;category;latitude;longitude;harga_terendah;harga_tertinggi;description;reviews_count
1;Famili Ria - Sunter;Restoran China;-62.291.903;1.067.322.728;N/A;N/A;N/A;10
2;Hawaii Restaurant Sunter | Seafood & Chinese Food;Restoran China;-62.291.903;1.067.322.728;N/A;N/A;Restoran modern dan nyaman yang menyajikan aneka menu khas Pontianak, spesialis masakan China.;10
3;Restaurant Chung Hua;Restoran China;-62.291.903;1.067.322.728;N/A;N/A;Restoran keluarga yang terang di area luas, yang menghidangkan makanan klasik khas China yang tidak asing.;10
4;A Hwuat K;Restoran China;-62.291.903;1.067.322.728;N/A;N/A;;10
5;Angke Restaurant & Function Hall;Restoran China;-62.291.903;1.067.322.728;N/A;N/A;Restoran China yang sudah lama berdiri sejak 1965 dengan hidangan Hakka, serta sejumlah aula serbaguna.;10
6;New Cahaya Lestari;Restoran China;-62.291.903;1.067.322.728;N/A;N/A;N/A;10
7;A Hwa;Restoran China;-61.210.471;1.066.305.862;75.000;125.000;Tempat makan dengan variasi menu China yang berkualitas dan harga terjangkau, cocok untuk acara.;10
10;Foek Lam;Restoran China;-62.291.903;1.067.322.728;N/A;N/A;N/A;10
