id_resto,name,category,latitude,longitude,harga_terendah,harga_tertinggi,description,combined_features,processed_features,avg_rating,review_count,price_range,distance_km
78,KFC Kemang,Restoran Cepat Saji,-6.2557535,106.7926431,25000.0,50000.0,"Franchise restoran yang terkenal dengan ember ayam goreng, dan hidangan kombo, serta hidangan sampingan.","KFC Kemang Restoran Cepat Saji Franchise restoran yang terkenal dengan ember ayam goreng, dan hidangan kombo, serta hidangan sampingan.",kfc kemang restoran cepat saji franchis restoran terken ember ayam goreng hidangan kombo hidangan sampingan,4.2,10,37500.0,1.8655045526022593
63,Wendy's Pacific Place,Restoran Cepat Saji,-6.2245279,106.8072721,,,,Wendy's Pacific Place Restoran Cepat Saji ,wendi pacif place restoran cepat saji,4.4,10,0.0,2.453933009272142
65,Burgreens Express - Pacific Place,Restoran Makanan Sehat,-6.2244738,106.8076974,,,"Restoran yang menyajikan aneka burger dan menu vegetarian sehat lainnya, serta jus.","Burgreens Express - Pacific Place Restoran Makanan Sehat Restoran yang menyajikan aneka burger dan menu vegetarian sehat lainnya, serta jus.",burgreen express pacif place restoran makanan sehat restoran menyajikan aneka burger menu vegetarian sehat ju,4.3,10,0.0,2.4933520499791926
89,Rumah Makan Marannu,Restoran Sulawesi Selatan,-6.2063769,106.8225902,75.0,100000.0,Hidangan daerah Indonesia termasuk sup daging pedas yang ditawarkan di tempat luas penuh warna.,Rumah Makan Marannu Restoran Sulawesi Selatan Hidangan daerah Indonesia termasuk sup daging pedas yang ditawarkan di tempat luas penuh warna.,rumah makan marannu restoran sulawesi selatan hidangan daerah indonesia sup dage peda ditawarkan lua penuh warna,4.2,10,50037.5,5.073889558037309
68,Taco Bell,Restoran Cepat Saji,-6.233157,106.7355283,50000.0,75000.0,,Taco Bell Restoran Cepat Saji ,taco bell restoran cepat saji,3.9,10,62500.0,6.1232213260593
